director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Bart Layton,Evan Peters,Barry Keoghan,Blake Jenner,Drama Crime Documentary,american animals,Evan Peters Barry Keoghan Blake Jenner Bart Layton Drama Crime Documentary
Theresa Bennett,Noël Wells,Josh Radnor,Aya Cash,Comedy Romance,social animals,Noël Wells Josh Radnor Aya Cash Theresa Bennett Comedy Romance
Gary Ross,Sandra Bullock,Cate Blanchett,Anne Hathaway,Crime Comedy Action,ocean's 8,Sandra Bullock Cate Blanchett Anne Hathaway Gary Ross Crime Comedy Action
Ari Aster,Toni Collette,Alex Wolff,Milly Shapiro,Horror Mystery Thriller,hereditary,Toni Collette Alex Wolff Milly Shapiro Ari Aster Horror Mystery Thriller
Drew Pearce,Jodie Foster,Sterling K. Brown,Sofia Boutella,Science Fiction Crime Action Thriller Drama,hotel artemis,Jodie Foster Sterling K. Brown Sofia Boutella Drew Pearce Science Fiction Crime Action Thriller Drama
Director X,Trevor Jackson,Jason Mitchell,Michael K. Williams,Action Crime,superfly,Trevor Jackson Jason Mitchell Michael K. Williams Director X Action Crime
Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Action Adventure Animation Family,incredibles 2,Craig T. Nelson Holly Hunter Sarah Vowell Brad Bird Action Adventure Animation Family
Jeff Tomsic,Ed Helms,Mark Steilen (screenplay); Ed Helms,Annabelle Wallis,Comedy Action,tag,Ed Helms Mark Steilen (screenplay); Ed Helms Annabelle Wallis Jeff Tomsic Comedy Action
Kevin Connolly,John Travolta,Leo Rossi (screenplay); John Travolta,Pruitt Taylor Vince,Crime Drama History Thriller,gotti,John Travolta Leo Rossi (screenplay); John Travolta Pruitt Taylor Vince Kevin Connolly Crime Drama History Thriller
J. A. Bayona,Chris Pratt,Colin Trevorrow (screenplay); Chris Pratt,Rafe Spall,Adventure Science Fiction Thriller,jurassic world: fallen kingdom,Chris Pratt Colin Trevorrow (screenplay); Chris Pratt Rafe Spall J. A. Bayona Adventure Science Fiction Thriller
Shana Feste,Vera Farmiga,Christopher Plummer,Lewis MacDougall,Comedy Drama,boundaries,Vera Farmiga Christopher Plummer Lewis MacDougall Shana Feste Comedy Drama
"David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska",Robert Pattinson,Nathan Zellner (directors/screenplay); Robert Pattinson,unknown,Fantasy Action Adventure,damsel,"Robert Pattinson Nathan Zellner (directors/screenplay); Robert Pattinson unknown David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska Fantasy Action Adventure"
Mike P. Nelson,Tyler Hoechlin,Kate Bosworth,Lance Reddick,Horror Thriller,the domestics,Tyler Hoechlin Kate Bosworth Lance Reddick Mike P. Nelson Horror Thriller
Stefano Sollima,Benicio del Toro,Josh Brolin,Isabela Merced,Action Crime Thriller,sicario: day of the soldado,Benicio del Toro Josh Brolin Isabela Merced Stefano Sollima Action Crime Thriller
Debra Granik,Ben Foster,Thomasin McKenzie,Jeff Kober,Drama,leave no trace,Ben Foster Thomasin McKenzie Jeff Kober Debra Granik Drama
Matt Sivertson,Caroline Amiguet,Sara Wolfkind,Michael Christopher Shantz,Drama,love all you have left,Caroline Amiguet Sara Wolfkind Michael Christopher Shantz Matt Sivertson Drama
Charles Stone III,Kyrie Irving,Lil Rel Howery,Shaquille O'Neal,Comedy,uncle drew,Kyrie Irving Lil Rel Howery Shaquille O'Neal Charles Stone III Comedy
Susanna White,Jessica Chastain,Michael Greyeyes,Chaske Spencer,Drama History Western,woman walks ahead,Jessica Chastain Michael Greyeyes Chaske Spencer Susanna White Drama History Western
Richie Moore,Russell Geoffrey Banks,Russell Geoffrey Banks (screenplay); Russell Geoffrey Banks,Margaret Roche,Horror TV Movie,who's watching oliver,Russell Geoffrey Banks Russell Geoffrey Banks (screenplay); Russell Geoffrey Banks Margaret Roche Richie Moore Horror TV Movie
Gerard McMurray,Y'lan Noel,Lex Scott Davis,Joivan Wade,Action Horror Thriller,the first purge,Y'lan Noel Lex Scott Davis Joivan Wade Gerard McMurray Action Horror Thriller
Peyton Reed,Paul Rudd,Erik Sommers,Michael Peña,Action Adventure Science Fiction,ant-man and the wasp,Paul Rudd Erik Sommers Michael Peña Peyton Reed Action Adventure Science Fiction
Boots Riley,LaKeith Stanfield,Tessa Thompson,Jermaine Fowler,Fantasy Science Fiction Comedy,sorry to bother you,LaKeith Stanfield Tessa Thompson Jermaine Fowler Boots Riley Fantasy Science Fiction Comedy
Kevin Macdonald,Whitney Houston,unknown,unknown,Music Documentary,whitney,Whitney Houston unknown unknown Kevin Macdonald Music Documentary
"Genndy Tartakovsky (director/screenplay[119]); Michael McCullers (screenplay); Adam Sandler, Andy Samberg, Selena Gomez, Kevin James, David Spade, Steve Buscemi, Keegan-Michael Key, Molly Shannon, Fran Drescher, Kathryn Hahn, Jim Gaffigan, Mel Brooks",Adam Sandler,Andy Samberg,Selena Gomez,Animation Comedy Family Fantasy,hotel transylvania 3: summer vacation,"Adam Sandler Andy Samberg Selena Gomez Genndy Tartakovsky (director/screenplay[119]); Michael McCullers (screenplay); Adam Sandler, Andy Samberg, Selena Gomez, Kevin James, David Spade, Steve Buscemi, Keegan-Michael Key, Molly Shannon, Fran Drescher, Kathryn Hahn, Jim Gaffigan, Mel Brooks Animation Comedy Family Fantasy"
Rawson Marshall Thurber,Dwayne Johnson,Neve Campbell,Chin Han,Action Thriller Adventure,skyscraper,Dwayne Johnson Neve Campbell Chin Han Rawson Marshall Thurber Action Thriller Adventure
Bo Burnham,Elsie Fisher,Josh Hamilton,Emily Robinson,Comedy Drama,eighth grade,Elsie Fisher Josh Hamilton Emily Robinson Bo Burnham Comedy Drama
Gus Van Sant,Joaquin Phoenix,Jonah Hill,Rooney Mara,Comedy Drama,"don't worry, he won't get far on foot",Joaquin Phoenix Jonah Hill Rooney Mara Gus Van Sant Comedy Drama
Rob Reiner,Woody Harrelson,James Marsden,Rob Reiner,History Drama Thriller,shock and awe,Woody Harrelson James Marsden Rob Reiner Rob Reiner History Drama Thriller
Ol Parker,Christine Baranski,Pierce Brosnan,Dominic Cooper,Comedy Romance,mamma mia! here we go again,Christine Baranski Pierce Brosnan Dominic Cooper Ol Parker Comedy Romance
Antoine Fuqua,Denzel Washington,Pedro Pascal,Ashton Sanders,Action Thriller Crime,the equalizer 2,Denzel Washington Pedro Pascal Ashton Sanders Antoine Fuqua Action Thriller Crime
Carlos López Estrada,Daveed Diggs,Daveed Diggs (screenplay); Daveed Diggs,Janina Gavankar,Comedy Crime Drama,blindspotting,Daveed Diggs Daveed Diggs (screenplay); Daveed Diggs Janina Gavankar Carlos López Estrada Comedy Crime Drama
Stephen Susco,Colin Woodell,Rebecca Rittenhouse,Betty Gabriel,Horror,unfriended: dark web,Colin Woodell Rebecca Rittenhouse Betty Gabriel Stephen Susco Horror
Christopher McQuarrie,Tom Cruise,Henry Cavill,Ving Rhames,Action Adventure,mission: impossible – fallout,Tom Cruise Henry Cavill Ving Rhames Christopher McQuarrie Action Adventure
Peter Rida Michail,Greg Cipes,Scott Menville,Khary Payton,Animation Action Comedy Science Fiction,teen titans go! to the movies,Greg Cipes Scott Menville Khary Payton Peter Rida Michail Animation Action Comedy Science Fiction
Elijah Bynum,Timothée Chalamet,Maika Monroe,Alex Roe,Drama Crime,hot summer nights,Timothée Chalamet Maika Monroe Alex Roe Elijah Bynum Drama Crime
Marc Turtletaub,Kelly Macdonald,Polly Mann (screenplay); Kelly Macdonald,David Denman,Horror Thriller,puzzle,Kelly Macdonald Polly Mann (screenplay); Kelly Macdonald David Denman Marc Turtletaub Horror Thriller
Ben Young,Michael Peña,Brad Kane (screenplay); Michael Peña,Mike Colter,Action Drama Science Fiction Thriller,extinction,Michael Peña Brad Kane (screenplay); Michael Peña Mike Colter Ben Young Action Drama Science Fiction Thriller
Marc Forster,Ewan McGregor,Tom McCarthy,Jim Cummings,Adventure Comedy Family Fantasy,christopher robin,Ewan McGregor Tom McCarthy Jim Cummings Marc Forster Adventure Comedy Family Fantasy
Jennifer Yuh Nelson,Amandla Stenberg,Harris Dickinson,Mandy Moore,Action Adventure Drama,the darkest minds,Amandla Stenberg Harris Dickinson Mandy Moore Jennifer Yuh Nelson Action Adventure Drama
Susanna Fogel,Mila Kunis,Kate McKinnon,Justin Theroux,Comedy Action Adventure,the spy who dumped me,Mila Kunis Kate McKinnon Justin Theroux Susanna Fogel Comedy Action Adventure
Desiree Akhavan,Chloë Grace Moretz,John Gallagher Jr.,Sasha Lane,Drama,the miseducation of cameron post,Chloë Grace Moretz John Gallagher Jr. Sasha Lane Desiree Akhavan Drama
Augustine Frizzell,Maia Mitchell,Camila Morrone,unknown,Comedy,never goin' back,Maia Mitchell Camila Morrone unknown Augustine Frizzell Comedy
Ken Marino,Nina Dobrev,Erica Oyama (screenplay); Nina Dobrev,Adam Pally,Comedy Family Romance,dog days,Nina Dobrev Erica Oyama (screenplay); Nina Dobrev Adam Pally Ken Marino Comedy Family Romance
Jon Turteltaub,Jason Statham,Jon Hoeber,Rainn Wilson,Action Science Fiction Horror,the meg,Jason Statham Jon Hoeber Rainn Wilson Jon Turteltaub Action Science Fiction Horror
Spike Lee,John David Washington,David Rabinowitz,Laura Harrier,Crime Comedy Drama History,blackkklansman,John David Washington David Rabinowitz Laura Harrier Spike Lee Crime Comedy Drama History
Sylvain White,Julia Goldani Telles,Joey King,Jaz Sinclair,Horror Mystery Thriller,slender man,Julia Goldani Telles Joey King Jaz Sinclair Sylvain White Horror Mystery Thriller
Jean-Stéphane Sauvaire,Joe Cole,unknown,unknown,Drama Action Crime,a prayer before dawn,Joe Cole unknown unknown Jean-Stéphane Sauvaire Drama Action Crime
Sebastian Gutierrez,Abbey Lee,Matthew Beard,Carla Gugino,Science Fiction Thriller Horror Mystery,elizabeth harvest,Abbey Lee Matthew Beard Carla Gugino Sebastian Gutierrez Science Fiction Thriller Horror Mystery
Jon M. Chu,Constance Wu,Adele Lim (screenplay); Constance Wu,Gemma Chan,Comedy Romance,crazy rich asians,Constance Wu Adele Lim (screenplay); Constance Wu Gemma Chan Jon M. Chu Comedy Romance
Albert Hughes,Kodi Smit-McPhee,Jóhannes Haukur Jóhannesson,unknown,Horror Drama Science Fiction,alpha,Kodi Smit-McPhee Jóhannes Haukur Jóhannesson unknown Albert Hughes Horror Drama Science Fiction
Peter Berg,Mark Wahlberg,Iko Uwais,John Malkovich,Action Thriller,mile 22,Mark Wahlberg Iko Uwais John Malkovich Peter Berg Action Thriller
Björn Runge,Glenn Close,Jonathan Pryce,Christian Slater,Drama,the wife,Glenn Close Jonathan Pryce Christian Slater Björn Runge Drama
James Cox,Ansel Elgort,Taron Egerton,Emma Roberts,Drama,billionaire boys club,Ansel Elgort Taron Egerton Emma Roberts James Cox Drama
Jesse Peretz,Rose Byrne,Jim Taylor,Chris O'Dowd,Comedy Drama Romance,"juliet, naked",Rose Byrne Jim Taylor Chris O'Dowd Jesse Peretz Comedy Drama Romance
Rodrigo Cortés,AnnaSophia Robb,Chris Sparling (screenplay); AnnaSophia Robb,Victoria Moroles,Horror Mystery Thriller Fantasy Drama,down a dark hall,AnnaSophia Robb Chris Sparling (screenplay); AnnaSophia Robb Victoria Moroles Rodrigo Cortés Horror Mystery Thriller Fantasy Drama
Susan Johnson,Lana Condor,Noah Centineo,Janel Parrish,Comedy Romance,to all the boys i've loved before,Lana Condor Noah Centineo Janel Parrish Susan Johnson Comedy Romance
Brian Henson,Melissa McCarthy,Bill Barretta,Joel McHale,Action Crime Comedy,the happytime murders,Melissa McCarthy Bill Barretta Joel McHale Brian Henson Action Crime Comedy
Aneesh Chaganty,John Cho,Debra Messing,unknown,Drama TV Movie,searching,John Cho Debra Messing unknown Aneesh Chaganty Drama TV Movie
Michael Noer,Charlie Hunnam,Rami Malek,Roland Møller,Adventure Crime Drama,papillon,Charlie Hunnam Rami Malek Roland Møller Michael Noer Adventure Crime Drama
Oliver Daly,Alex Neustaedter,Becky G,Alex MacNicoll,Science Fiction Action Adventure Family,a.x.l.,Alex Neustaedter Becky G Alex MacNicoll Oliver Daly Science Fiction Action Adventure Family
Chris Weitz,Oscar Isaac,Ben Kingsley,Mélanie Laurent,Drama History Thriller,operation finale,Oscar Isaac Ben Kingsley Mélanie Laurent Chris Weitz Drama History Thriller
"Jonathan Baker, Josh Baker",Myles Truitt,Josh Baker (director/screenplay); Daniel Casey (screenplay); Myles Truitt,Zoë Kravitz,Science Fiction Action Adventure Thriller,kin,"Myles Truitt Josh Baker (director/screenplay); Daniel Casey (screenplay); Myles Truitt Zoë Kravitz Jonathan Baker, Josh Baker Science Fiction Action Adventure Thriller"
Victor Levin,Winona Ryder,Keanu Reeves,unknown,Romance Comedy Drama,destination wedding,Winona Ryder Keanu Reeves unknown Victor Levin Romance Comedy Drama
Brian A. Miller,Bruce Willis,Frank Grillo,Johnathon Schaech,Action Adventure Thriller,reprisal,Bruce Willis Frank Grillo Johnathon Schaech Brian A. Miller Action Adventure Thriller
Corin Hardy,Demián Bichir,Taissa Farmiga,Jonas Bloquet,Horror,the nun,Demián Bichir Taissa Farmiga Jonas Bloquet Corin Hardy Horror
Pierre Morel,Jennifer Garner,John Ortiz,John Gallagher Jr.,Action Thriller,peppermint,Jennifer Garner John Ortiz John Gallagher Jr. Pierre Morel Action Thriller
Shane Black,Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Science Fiction Action Thriller,the predator,Boyd Holbrook Trevante Rhodes Jacob Tremblay Shane Black Science Fiction Action Thriller
Paul Feig,Anna Kendrick,Blake Lively,Henry Golding,Thriller Comedy Mystery,a simple favor,Anna Kendrick Blake Lively Henry Golding Paul Feig Thriller Comedy Mystery
Yann Demange,Matthew McConaughey,Logan Miller,Bel Powley,Crime Drama,white boy rick,Matthew McConaughey Logan Miller Bel Powley Yann Demange Crime Drama
Harold Cronk,Samuel Hunt,Ken Hixon (screenplay); Samuel Hunt,Vanessa Bell Calloway,Drama,unbroken: path to redemption,Samuel Hunt Ken Hixon (screenplay); Samuel Hunt Vanessa Bell Calloway Harold Cronk Drama
Richard Eyre,Emma Thompson,Stanley Tucci,Fionn Whitehead,Drama,the children act,Emma Thompson Stanley Tucci Fionn Whitehead Richard Eyre Drama
Craig William Macneill,Chloë Sevigny,Kristen Stewart,Jay Huguley,Crime Drama Thriller,lizzie,Chloë Sevigny Kristen Stewart Jay Huguley Craig William Macneill Crime Drama Thriller
Stephen Cognetti,Vasile Flutur,Jillian Geurts,Joy Shatz,Horror Mystery,hell house llc ii: the abaddon hotel,Vasile Flutur Jillian Geurts Joy Shatz Stephen Cognetti Horror Mystery
Eli Roth,Jack Black,Cate Blanchett,Owen Vaccaro,Comedy Family Fantasy Horror Mystery,the house with a clock in its walls,Jack Black Cate Blanchett Owen Vaccaro Eli Roth Comedy Family Fantasy Horror Mystery
Dan Fogelman,Oscar Isaac,Olivia Wilde,Mandy Patinkin,Drama Romance,life itself,Oscar Isaac Olivia Wilde Mandy Patinkin Dan Fogelman Drama Romance
Jacques Audiard,John C. Reilly,Joaquin Phoenix,Jake Gyllenhaal,Western Drama Comedy,the sisters brothers,John C. Reilly Joaquin Phoenix Jake Gyllenhaal Jacques Audiard Western Drama Comedy
Sam Levinson,Odessa Young,Suki Waterhouse,Hari Nef,Thriller Horror Comedy,assassination nation,Odessa Young Suki Waterhouse Hari Nef Sam Levinson Thriller Horror Comedy
Donald Petrie,Emma Roberts,Vinay Virmani (screenplay); Emma Roberts,Alyssa Milano,Comedy Romance,little italy,Emma Roberts Vinay Virmani (screenplay); Emma Roberts Alyssa Milano Donald Petrie Comedy Romance
Wash Westmoreland,Keira Knightley,Rebecca Lenkiewicz (screenplay); Keira Knightley,Eleanor Tomlinson,Drama History,colette,Keira Knightley Rebecca Lenkiewicz (screenplay); Keira Knightley Eleanor Tomlinson Wash Westmoreland Drama History
Michael Moore (director/screenplay/narrator),Michael Moore (director/screenplay/narrator),unknown,unknown,Documentary,fahrenheit 11/9,Michael Moore (director/screenplay/narrator) unknown unknown Michael Moore (director/screenplay/narrator) Documentary
Lisa D'Apolito,Lisa D'Apolito (director); Gilda Radner,Amy Poehler,Melissa McCarthy,Documentary,"love, gilda",Lisa D'Apolito (director); Gilda Radner Amy Poehler Melissa McCarthy Lisa D'Apolito Documentary
Karey Kirkpatrick,Channing Tatum,James Corden,Zendaya,Family Comedy Adventure Animation Fantasy,smallfoot,Channing Tatum James Corden Zendaya Karey Kirkpatrick Family Comedy Adventure Animation Fantasy
"Malcolm D. Lee (director[177]); Kevin Hart, Harry Ratchford, Joey Wells, Matt Kellard, Nicholas Stoller,[178] John Hamburg (screenplay); Kevin Hart, Tiffany Haddish, Rob Riggle, Romany Malco",Kevin Hart,Harry Ratchford,Rob Riggle,Comedy,night school,"Kevin Hart Harry Ratchford Rob Riggle Malcolm D. Lee (director[177]); Kevin Hart, Harry Ratchford, Joey Wells, Matt Kellard, Nicholas Stoller,[178] John Hamburg (screenplay); Kevin Hart, Tiffany Haddish, Rob Riggle, Romany Malco Comedy"
David Lowery,Robert Redford,Casey Affleck,Danny Glover,Comedy Crime Drama,the old man & the gun,Robert Redford Casey Affleck Danny Glover David Lowery Comedy Crime Drama
Gregory Plotkin,Amy Forsyth,Blair Butler,Bex Taylor-Klaus,Horror Thriller,hell fest,Amy Forsyth Blair Butler Bex Taylor-Klaus Gregory Plotkin Horror Thriller
Ruben Fleischer,Tom Hardy,Scott Rosenberg,Riz Ahmed,Science Fiction Action,venom,Tom Hardy Scott Rosenberg Riz Ahmed Ruben Fleischer Science Fiction Action
Bradley Cooper,Bradley Cooper,Will Fetters (screenplay); Bradley Cooper,Andrew Dice Clay,Music Drama Romance,a star is born,Bradley Cooper Will Fetters (screenplay); Bradley Cooper Andrew Dice Clay Bradley Cooper Music Drama Romance
Peter Bogdanovich (director/screenplay),Peter Bogdanovich (director/screenplay),unknown,unknown,Documentary Comedy,the great buster: a celebration,Peter Bogdanovich (director/screenplay) unknown unknown Peter Bogdanovich (director/screenplay) Documentary Comedy
Damien Chazelle,Ryan Gosling,Claire Foy,Jason Clarke,History Drama,first man,Ryan Gosling Claire Foy Jason Clarke Damien Chazelle History Drama
Drew Goddard,Jeff Bridges,Cynthia Erivo,Dakota Johnson,Thriller Mystery Crime,bad times at the el royale,Jeff Bridges Cynthia Erivo Dakota Johnson Drew Goddard Thriller Mystery Crime
Ari Sandel,Wendi McLendon-Covey,Madison Iseman,Jeremy Ray Taylor,Comedy Fantasy Horror Family,goosebumps 2: haunted halloween,Wendi McLendon-Covey Madison Iseman Jeremy Ray Taylor Ari Sandel Comedy Fantasy Horror Family
Felix van Groeningen,Steve Carell,Timothée Chalamet,Maura Tierney,Drama,beautiful boy,Steve Carell Timothée Chalamet Maura Tierney Felix van Groeningen Drama
Ike Barinholtz,Ike Barinholtz,Tiffany Haddish,Nora Dunn,Comedy Thriller,the oath,Ike Barinholtz Tiffany Haddish Nora Dunn Ike Barinholtz Comedy Thriller
Nick Searcy,Earl Billings,Dean Cain,Sarah Jane Morris,Drama Crime Documentary,gosnell: the trial of america's biggest serial killer,Earl Billings Dean Cain Sarah Jane Morris Nick Searcy Drama Crime Documentary
"Hannah Marks, Joey Power (directors/screenplay), Jeremy Allen White, Maika Monroe, DeRon Horton, Sasha Lane, Dean Winters, Joe Keery, Gina Gershon, Marisa Tomei",Hannah Marks,Joey Power (directors/screenplay),Jeremy Allen White,Romance Drama,after everything,"Hannah Marks Joey Power (directors/screenplay) Jeremy Allen White Hannah Marks, Joey Power (directors/screenplay), Jeremy Allen White, Maika Monroe, DeRon Horton, Sasha Lane, Dean Winters, Joe Keery, Gina Gershon, Marisa Tomei Romance Drama"
David Gordon Green,Jamie Lee Curtis,Danny McBride (screenplay); Jamie Lee Curtis,Andi Matichak,Horror Thriller,halloween,Jamie Lee Curtis Danny McBride (screenplay); Jamie Lee Curtis Andi Matichak David Gordon Green Horror Thriller
George Tillman Jr.,Amandla Stenberg,Regina Hall,Russell Hornsby,Crime Drama,the hate u give,Amandla Stenberg Regina Hall Russell Hornsby George Tillman Jr. Crime Drama
Marielle Heller,Melissa McCarthy,Jeff Whitty (screenplay); Melissa McCarthy,unknown,Drama Crime Comedy,can you ever forgive me?,Melissa McCarthy Jeff Whitty (screenplay); Melissa McCarthy unknown Marielle Heller Drama Crime Comedy
Jonah Hill,Sunny Suljic,Lucas Hedges,Na-Kel Smith,Drama Comedy,mid90s,Sunny Suljic Lucas Hedges Na-Kel Smith Jonah Hill Drama Comedy
Paul Dano,Carey Mulligan,Jake Gyllenhaal,Ed Oxenbould,Drama,wildlife,Carey Mulligan Jake Gyllenhaal Ed Oxenbould Paul Dano Drama
Elizabeth Chomko,Hilary Swank,Michael Shannon,Robert Forster,Drama,what they had,Hilary Swank Michael Shannon Robert Forster Elizabeth Chomko Drama
Sacha Gervasi,Peter Dinklage,Jamie Dornan,Andy García,Drama TV Movie,my dinner with hervé,Peter Dinklage Jamie Dornan Andy García Sacha Gervasi Drama TV Movie
Donovan Marsh,Gerard Butler,Jamie Moss (screenplay); Gerard Butler,Common,Action Adventure Thriller,hunter killer,Gerard Butler Jamie Moss (screenplay); Gerard Butler Common Donovan Marsh Action Adventure Thriller
David Kerr,Rowan Atkinson,Ben Miller,Olga Kurylenko,Action Adventure Comedy,johnny english strikes again,Rowan Atkinson Ben Miller Olga Kurylenko David Kerr Action Adventure Comedy
Luca Guadagnino,Dakota Johnson,Tilda Swinton,Mia Goth,Horror,suspiria,Dakota Johnson Tilda Swinton Mia Goth Luca Guadagnino Horror
David G. Evans,Sarah Drew,Peter White (screenplay); Sarah Drew,Eddie Kaulukukui,Drama War,indivisible,Sarah Drew Peter White (screenplay); Sarah Drew Eddie Kaulukukui David G. Evans Drama War
David McCracken,Mike C. Nelson,Jenni Melear,David McCracken,Action Drama Thriller,bullitt county,Mike C. Nelson Jenni Melear David McCracken David McCracken Action Drama Thriller
Bryan Singer[a],Rami Malek,Lucy Boynton,Gwilym Lee,Music Drama,bohemian rhapsody,Rami Malek Lucy Boynton Gwilym Lee Bryan Singer[a] Music Drama
"Lasse Hallström, Joe Johnston",Keira Knightley,Joe Johnston (director); Ashleigh Powell (screenplay); Keira Knightley,Eugenio Derbez,Family Fantasy Adventure,the nutcracker and the four realms,"Keira Knightley Joe Johnston (director); Ashleigh Powell (screenplay); Keira Knightley Eugenio Derbez Lasse Hallström, Joe Johnston Family Fantasy Adventure"
Tyler Perry,Tiffany Haddish,Tika Sumpter,Omari Hardwick,Drama Comedy,nobody's fool,Tiffany Haddish Tika Sumpter Omari Hardwick Tyler Perry Drama Comedy
Joel Edgerton,Lucas Hedges,Nicole Kidman,Joel Edgerton,Drama,boy erased,Lucas Hedges Nicole Kidman Joel Edgerton Joel Edgerton Drama
Orson Welles,John Huston,Oja Kodar,Peter Bogdanovich,Drama,the other side of the wind,John Huston Oja Kodar Peter Bogdanovich Orson Welles Drama
Matthew Heineman,Rosamund Pike,Jamie Dornan,Tom Hollander,Drama War,a private war,Rosamund Pike Jamie Dornan Tom Hollander Matthew Heineman Drama War
"Zeek Earl, Chris Caldwell",Pedro Pascal,Chris Caldwell (director/screenplay); Pedro Pascal,Jay Duplass,Science Fiction,prospect,"Pedro Pascal Chris Caldwell (director/screenplay); Pedro Pascal Jay Duplass Zeek Earl, Chris Caldwell Science Fiction"
Joseph Kahn,Calum Worthy,Jackie Long,Rory Uphold,Drama Comedy Music,bodied,Calum Worthy Jackie Long Rory Uphold Joseph Kahn Drama Comedy Music
Jason Reitman,Hugh Jackman,Jay Carson (screenplay); Hugh Jackman,J. K. Simmons,Drama History,the front runner,Hugh Jackman Jay Carson (screenplay); Hugh Jackman J. K. Simmons Jason Reitman Drama History
"Scott Mosier, Yarrow Cheney",Benedict Cumberbatch,Yarrow Cheney (directors); Michael LeSieur,Kenan Thompson,Animation Comedy Family Fantasy,the grinch,"Benedict Cumberbatch Yarrow Cheney (directors); Michael LeSieur Kenan Thompson Scott Mosier, Yarrow Cheney Animation Comedy Family Fantasy"
Fede Álvarez,Claire Foy,Steven Knight (screenplay); Claire Foy,LaKeith Stanfield,Action Crime Thriller,the girl in the spider's web,Claire Foy Steven Knight (screenplay); Claire Foy LaKeith Stanfield Fede Álvarez Action Crime Thriller
Julius Avery,Jovan Adepo,Mark L. Smith (screenplay); Jovan Adepo,Mathilde Ollivier,Horror War Science Fiction,overlord,Jovan Adepo Mark L. Smith (screenplay); Jovan Adepo Mathilde Ollivier Julius Avery Horror War Science Fiction
"Coen brothers (directors/screenplay); Tyne Daly, James Franco, Brendan Gleeson, Bill Heck, Grainger Hines, Zoe Kazan, Harry Melling, Liam Neeson, Tim Blake Nelson, Jonjo O'Neill, Chelcie Ross, Saul Rubinek, Tom Waits",Tyne Daly,James Franco,Brendan Gleeson,Western Comedy Drama,the ballad of buster scruggs,"Tyne Daly James Franco Brendan Gleeson Coen brothers (directors/screenplay); Tyne Daly, James Franco, Brendan Gleeson, Bill Heck, Grainger Hines, Zoe Kazan, Harry Melling, Liam Neeson, Tim Blake Nelson, Jonjo O'Neill, Chelcie Ross, Saul Rubinek, Tom Waits Western Comedy Drama"
"Daniel Fabelo, Matt Hullum (directors/screenplay); Burnie Burns (screenplay); Burnie Burns, Gavin Free, Michael Jones, Colton Dunn, Nichole Sakura, Allie DeBerry",Burnie Burns,Matt Hullum (directors/screenplay); Burnie Burns (screenplay); Burnie Burns,Michael Jones,Science Fiction Action Adventure Comedy,lazer team 2,"Burnie Burns Matt Hullum (directors/screenplay); Burnie Burns (screenplay); Burnie Burns Michael Jones Daniel Fabelo, Matt Hullum (directors/screenplay); Burnie Burns (screenplay); Burnie Burns, Gavin Free, Michael Jones, Colton Dunn, Nichole Sakura, Allie DeBerry Science Fiction Action Adventure Comedy"
David Yates,Eddie Redmayne,Katherine Waterston,Dan Fogler,Fantasy Adventure,fantastic beasts: the crimes of grindelwald,Eddie Redmayne Katherine Waterston Dan Fogler David Yates Fantasy Adventure
Steve McQueen,Viola Davis,Michelle Rodriguez,Elizabeth Debicki,Drama Crime Thriller,widows,Viola Davis Michelle Rodriguez Elizabeth Debicki Steve McQueen Drama Crime Thriller
Peter Farrelly,Viggo Mortensen,Brian Hayes Currie (screenplay); Viggo Mortensen,Linda Cardellini,Drama Comedy History,green book,Viggo Mortensen Brian Hayes Currie (screenplay); Viggo Mortensen Linda Cardellini Peter Farrelly Drama Comedy History
Sean Anders,Mark Wahlberg,Rose Byrne,Isabela Merced,Comedy Drama,instant family,Mark Wahlberg Rose Byrne Isabela Merced Sean Anders Comedy Drama
Rich Moore,Rich Moore (director); Phil Johnston (director/screenplay[220]); Pamela Ribon (screenplay[220]); John C. Reilly,Sarah Silverman,Gal Gadot,Action Adventure Animation Comedy Family Science Fiction,ralph breaks the internet,Rich Moore (director); Phil Johnston (director/screenplay[220]); Pamela Ribon (screenplay[220]); John C. Reilly Sarah Silverman Gal Gadot Rich Moore Action Adventure Animation Comedy Family Science Fiction
Steven Caple Jr.,Michael B. Jordan,Sylvester Stallone (screenplay); Michael B. Jordan,Tessa Thompson,Drama Action,creed ii,Michael B. Jordan Sylvester Stallone (screenplay); Michael B. Jordan Tessa Thompson Steven Caple Jr. Drama Action
Otto Bathurst,Taron Egerton,David James Kelly (screenplay); Taron Egerton,Ben Mendelsohn,Thriller Action Drama,robin hood,Taron Egerton David James Kelly (screenplay); Taron Egerton Ben Mendelsohn Otto Bathurst Thriller Action Drama
Alfonso Cuarón,Yalitza Aparicio,Marina de Tavira,Jorge Antonio Guerrero,Drama,roma,Yalitza Aparicio Marina de Tavira Jorge Antonio Guerrero Alfonso Cuarón Drama
